Fwd Packet Length Min,Flow Bytes/s,Destination Port,Total Length of Fwd Packets,Bwd Packet Length Max,Total Backward Packets,Fwd Packet Length Max,Bwd Packet Length Std,Bwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,URG Flag Count,Flow Duration,Down/Up Ratio,Fwd Packet Length Mean,Total Fwd Packets,Total Length of Bwd Packets,Flow Packets/s
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
192.0,192000000.0,17823,0,192.0,1,192.0,0.0,192.0,0.0,192.0,0,1e-06,0.0,192.0,0,192,1000000.0
135.0,135000000.0,63606,0,135.0,1,135.0,0.0,135.0,0.0,135.0,0,1e-06,0.0,135.0,0,135,1000000.0
113.0,113000000.0,42615,0,113.0,1,113.0,0.0,113.0,0.0,113.0,0,1e-06,0.0,113.0,0,113,1000000.0
72.0,72000000.0,443,72,72.0,0,72.0,0.0,72.0,0.0,72.0,0,1e-06,0.0,72.0,1,0,1000000.0
86.0,86000000.0,53,86,86.0,0,86.0,0.0,86.0,0.0,86.0,0,1e-06,0.0,86.0,1,0,1000000.0
86.0,86000000.0,53,86,86.0,0,86.0,0.0,86.0,0.0,86.0,0,1e-06,0.0,86.0,1,0,1000000.0
86.0,86000000.0,53,86,86.0,0,86.0,0.0,86.0,0.0,86.0,0,1e-06,0.0,86.0,1,0,1000000.0
102.0,102000000.0,55175,0,102.0,1,102.0,0.0,102.0,0.0,102.0,0,1e-06,0.0,102.0,0,102,1000000.0
114.0,114000000.0,6337,0,114.0,1,114.0,0.0,114.0,0.0,114.0,0,1e-06,0.0,114.0,0,114,1000000.0
136.0,136000000.0,14832,0,136.0,1,136.0,0.0,136.0,0.0,136.0,0,1e-06,0.0,136.0,0,136,1000000.0
86.0,86000000.0,5353,86,86.0,0,86.0,0.0,86.0,0.0,86.0,0,1e-06,0.0,86.0,1,0,1000000.0
66.0,57.97709336403649,443,1798,583.0,0,583.0,190.43600690854848,163.45454545454547,190.43600690854848,66.0,0,31.012248039245605,0.0,163.45454545454547,11,0,0.35469856896796514
66.0,223.69164343459096,51567,6865,1514.0,1,1514.0,627.2268837002792,630.8181818181819,627.2268837002792,66.0,0,31.020380973815918,0.1,630.8181818181819,10,74,0.3546055739703849
73.0,44122.41497942069,443,5444,1292.0,0,1292.0,597.3393228866375,907.3333333333334,597.3393228866375,73.0,0,0.12338399887084961,0.0,907.3333333333334,6,0,48.628671909721554
82.0,58589.82543517314,53793,5330,1292.0,1,1292.0,604.714808814866,902.0,604.714808814866,82.0,0,0.09237098693847656,0.2,902.0,5,82,64.9554605711454
91.0,91000000.0,53,91,91.0,0,91.0,0.0,91.0,0.0,91.0,0,1e-06,0.0,91.0,1,0,1000000.0
91.0,91000000.0,53,91,91.0,0,91.0,0.0,91.0,0.0,91.0,0,1e-06,0.0,91.0,1,0,1000000.0
91.0,91000000.0,53,91,91.0,0,91.0,0.0,91.0,0.0,91.0,0,1e-06,0.0,91.0,1,0,1000000.0
107.0,107000000.0,17639,0,107.0,1,107.0,0.0,107.0,0.0,107.0,0,1e-06,0.0,107.0,0,107,1000000.0
141.0,141000000.0,15571,0,141.0,1,141.0,0.0,141.0,0.0,141.0,0,1e-06,0.0,141.0,0,141,1000000.0
119.0,119000000.0,9272,0,119.0,1,119.0,0.0,119.0,0.0,119.0,0,1e-06,0.0,119.0,0,119,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
79.0,79000000.0,53,79,79.0,0,79.0,0.0,79.0,0.0,79.0,0,1e-06,0.0,79.0,1,0,1000000.0
141.0,141000000.0,11497,0,141.0,1,141.0,0.0,141.0,0.0,141.0,0,1e-06,0.0,141.0,0,141,1000000.0
153.0,153000000.0,25826,0,153.0,1,153.0,0.0,153.0,0.0,153.0,0,1e-06,0.0,153.0,0,153,1000000.0
119.0,119000000.0,34723,0,119.0,1,119.0,0.0,119.0,0.0,119.0,0,1e-06,0.0,119.0,0,119,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
85.0,85000000.0,53,85,85.0,0,85.0,0.0,85.0,0.0,85.0,0,1e-06,0.0,85.0,1,0,1000000.0
113.0,113000000.0,36388,0,113.0,1,113.0,0.0,113.0,0.0,113.0,0,1e-06,0.0,113.0,0,113,1000000.0
101.0,101000000.0,63492,0,101.0,1,101.0,0.0,101.0,0.0,101.0,0,1e-06,0.0,101.0,0,101,1000000.0
135.0,135000000.0,50443,0,135.0,1,135.0,0.0,135.0,0.0,135.0,0,1e-06,0.0,135.0,0,135,1000000.0
100.0,19.08809929103309,5353,466,133.0,0,133.0,19.05255888325765,116.5,19.05255888325765,100.0,0,24.413116931915283,0.0,116.5,4,0,0.1638463458457776
412.0,36.34084895222288,5353,824,412.0,0,412.0,0.0,412.0,0.0,412.0,0,22.674208879470825,0.0,412.0,2,0,0.0882059440587934
92.0,347949.47520288546,137,184,92.0,0,92.0,0.0,92.0,0.0,92.0,0,0.0005288124084472656,0.0,92.0,2,0,3782.059513074842
